date;user;text;cleantext;tokens
2022-10-23 23:29:00;MonCha65938734;RT @Madza57472638: @susipudjiastuti Pertanda PPKM berjilid2 dan bisnis vaksin semakin menggiurkan;tanda ppkm jilid bisnis vaksin giur;['tanda', 'ppkm', 'jilid', 'bisnis', 'vaksin', 'giur']
2022-10-23 23:26:00;A_kadall;@convomfs Jangan bilang harus ada vaksin ke 4, 5, 6 dan seterusnya ya bgst;bilang vaksin bgst;['bilang', 'vaksin', 'bgst']
2022-10-23 23:25:00;sibakteribaik;Heran juga padahal cuma vaksin doang ribetnya kek disuruh bayar utang, padahal vaksin juga gratis gak suruh bayar tapi susahnya minta ampun;heran vaksin doang ribetnya kayak suruh bayar utang vaksin gratis suruh bayar susah ampun;['heran', 'vaksin', 'doang', 'ribetnya', 'kayak', 'suruh', 'bayar', 'utang', 'vaksin', 'gratis', 'suruh', 'bayar', 'susah', 'ampun']
2022-10-23 23:25:00;samarchitect86;Wkwkwk.. Loe gak pernah vaksinasi anak loe ya... Tau apa itu vaksin DPT..??  Itu artiinya sudah 3 vaksin sekaligus... Atau loe gak tau juga MMR..??   Gua ngakak dululah...;wkwkwk lo vaksinasi anak lo tau vaksin arti vaksin lo tau mmr gua akak dululah;['wkwkwk', 'lo', 'vaksinasi', 'anak', 'lo', 'tau', 'vaksin', 'arti', 'vaksin', 'lo', 'tau', 'mmr', 'gua', 'akak', 'dululah']
2022-10-23 23:25:00;AntiBeloKiri;"Ini dikabakar karena berdirinya kerjasama BUMN china dengan RI tentang industri vaksin yg mulai produksi bulan depan.rekruitment tenaga pun sudah komplit.semua sdh tertata
";dikabakar kerjasama bumn china industri vaksin produksi rekruitment tenaga komplit tata;['dikabakar', 'kerjasama', 'bumn', 'china', 'industri', 'vaksin', 'produksi', 'rekruitment', 'tenaga', 'komplit', 'tata']
2022-10-23 23:25:00;AloelAsheen;"RT @kembang_asem: Mereka menyalahkan sirup atas kejadian gagal ginjal pada anak-anak, padahal itu akibat vaksin..!

What is polyethylene glâ¦";salah sirup gagal ginjal anak anak akibat vaksin what polyethylene gl;['salah', 'sirup', 'gagal', 'ginjal', 'anak', 'anak', 'akibat', 'vaksin', 'what', 'polyethylene', 'gl']
2022-10-23 23:24:00;Nadya_Azahra99;RT @Vermilo1: Orang yang menolak fakta pahit vaksin selalu beralasan tidak ada bukti ilmiah, bukti ilmiah yang seperti apa? Kalo ribuan vidâ¦;orang tolak fakta pahit vaksin alas bukti ilmiah bukti ilmiah kalo ribu vid;['orang', 'tolak', 'fakta', 'pahit', 'vaksin', 'alas', 'bukti', 'ilmiah', 'bukti', 'ilmiah', 'kalo', 'ribu', 'vid']
2022-10-23 23:23:00;lovedbymitsuji;@munfess ga keras bgt. cm nyeri di lengan ky vaksin pertama. besok aja, km kurang tidur pas screening test trs ga lolos rugi di km;keras banget nyeri lengan vaksin besok tidur pas screening test lolos rugi;['keras', 'banget', 'nyeri', 'lengan', 'vaksin', 'besok', 'tidur', 'pas', 'screening', 'test', 'lolos', 'rugi']
2022-10-23 23:23:00;82tyless;AAAAAAAAAAARRR NYARI VAKSIN BOOSTER KENAPA SUSAHHHHHHð­ð­ð­ð­;arrr cari vaksin booster susahhhhhh;['arrr', 'cari', 'vaksin', 'booster', 'susahhhhhh']
2022-10-23 23:21:00;tahugmmtv_;@convomfs Kalau ada vaksin bisa ga si vaksin di minum ga usah di suntik lagi, lama2 tangan gua bolong di suntik melulu;vaksin vaksin minum suntik tangan gua bolong suntik melulu;['vaksin', 'vaksin', 'minum', 'suntik', 'tangan', 'gua', 'bolong', 'suntik', 'melulu']
2022-10-23 23:19:00;unic_orn2;"Kating gue ada yg anti vaksin bahkan dari dulu sampe sekarang ga percaya covid anjir. Udah bodoamat gua mah dia koar koar bikin story apa ge kayanya udah ga ada yg peduli
";kating gue anti vaksin percaya covid anjir bodoamat gua mah koar koar bikin story kaya peduli;['kating', 'gue', 'anti', 'vaksin', 'percaya', 'covid', 'anjir', 'bodoamat', 'gua', 'mah', 'koar', 'koar', 'bikin', 'story', 'kaya', 'peduli']
2022-10-23 23:19:00;ukhtielya;@t3luuur Tp kebanyakan anak2 yg meninggal dgn kasus gagal ginjal akut blm d vaksin covid loh karna blm usia sekolah.??;anak tinggal gagal ginjal akut vaksin covid loh usia sekolah;['anak', 'tinggal', 'gagal', 'ginjal', 'akut', 'vaksin', 'covid', 'loh', 'usia', 'sekolah']
2022-10-23 23:19:00;Mr_cosanostra;RT @jannotama: @Mr_cosanostra Saya lagi kepikiran, apa mungkin vaksin ini menjadi triger tertentu untuk jenis obat/vitamin yg dikonsumsi anâ¦;pikir vaksin triger jenis obat vitamin konsumsi an;['pikir', 'vaksin', 'triger', 'jenis', 'obat', 'vitamin', 'konsumsi', 'an']
2022-10-23 23:19:00;batulangit5;"China sekarang sdang brusaha penuh menguasai kawasan, shingga ( kmungkinan) perang PD3 tidak mnjalar di sini krn di asia "" sudah bersih ""

Rezim akn brtahan,sampai benar benar 62 di pastikan berjalan di kiri..

Kiamat kecil dengan vaksin ato sejenisnya..";china sdang usaha penuh kuasa kawasan shingga kmungkinan perang mnjalar asia bersih rezim brtahan jalan kiri kiamat vaksin jenis;['china', 'sdang', 'usaha', 'penuh', 'kuasa', 'kawasan', 'shingga', 'kmungkinan', 'perang', 'mnjalar', 'asia', 'bersih', 'rezim', 'brtahan', 'jalan', 'kiri', 'kiamat', 'vaksin', 'jenis']
2022-10-23 23:18:00;AloelAsheen;"22 efek vaksin C 19 menurut FDA.
";efek vaksin fda;['efek', 'vaksin', 'fda']
2022-10-23 23:18:00;WakandaNgutang;"Silahkan tenggak itu vaksin goblok!
Lu kena prank produsen vaksin dan rela dijadikan Tikus Lab...otak emang beda??
";sila tenggak vaksin goblok kena prank produsen vaksin rela tikus lab otak beda;['sila', 'tenggak', 'vaksin', 'goblok', 'kena', 'prank', 'produsen', 'vaksin', 'rela', 'tikus', 'lab', 'otak', 'beda']
2022-10-23 23:17:00;alpancasani;"RT @Mr_cosanostra: Kalo anda tidak di Vaksin.... Anda anti sosialâ¦!!ð

Ternyata hari iniâ¦ semua itu tidak masuk akalâ¦
sekarang hal ini ternâ¦";kalo vaksin anti sosial nyata masuk akal tern;['kalo', 'vaksin', 'anti', 'sosial', 'nyata', 'masuk', 'akal', 'tern']
2022-10-23 23:15:00;afafia_;@tanyakanrl tergantung orangnya. aku vaksin 1 sama 2 demam tapi pas booster malah sehat ð;gantung orang vaksin demam pas booster sehat;['gantung', 'orang', 'vaksin', 'demam', 'pas', 'booster', 'sehat']
2022-10-23 23:15:00;barnadi;"Mungkin gak sih si etylen glycol ini bukan penyebab utama GGA makanya belum ditarik2in? Kan ada rumor juga gara2 vaksin anak2 atau apa gt.
";sih etylen glycol utama tarik rumor gara vaksin anak;['sih', 'etylen', 'glycol', 'utama', 'tarik', 'rumor', 'gara', 'vaksin', 'anak']
2022-10-23 23:15:00;DindaAzizahqu;"RT @OposisiCerdas: Marak Kasus Balita Gagal Ginjal, Babeh Aldo Singgung Vaksin: Gue Udah Ingetin, ASI Berpengaruh
https://t.co/dcTxiz3EKT";marak balita gagal ginjal babeh aldo singgung vaksin gue asi pengaruh;['marak', 'balita', 'gagal', 'ginjal', 'babeh', 'aldo', 'singgung', 'vaksin', 'gue', 'asi', 'pengaruh']
2022-10-23 23:15:00;morodjoyo;"Banyak Orang2 Guoblog Bilang.. 
Yg..Nggak Pro Vaksin
Anti Vaksin. 

Bukan..Begitu Persoalan & Permasalahan..Bong. 

Melainkan MANDATORY nya..Vaksin.. 
Itulah..Persoalan nya.!! 

... Kan.. Imunitas Alamiah... Setiap Individu Berbeda2. 
Lalu ada UU KESEHATAN. 
Bener Nggak Bong?!!";orang guoblog bilang pro vaksin anti vaksin bong mandatory nya vaksin nya imunitas alamiah individu beda sehat bong;['orang', 'guoblog', 'bilang', 'pro', 'vaksin', 'anti', 'vaksin', 'bong', 'mandatory', 'nya', 'vaksin', 'nya', 'imunitas', 'alamiah', 'individu', 'beda', 'sehat', 'bong']
2022-10-23 23:15:00;Yourslyyyy;@BogorDinkes hallo ada info vaksin booster ga;halo info vaksin booster;['halo', 'info', 'vaksin', 'booster']
2022-10-23 23:14:00;pixaxr;@tanyakanrl besok aja, sblm vaksin mending makan dan banyak minum dulu biar ga sakit after nya;besok vaksin mending makan minum biar sakit after nya;['besok', 'vaksin', 'mending', 'makan', 'minum', 'biar', 'sakit', 'after', 'nya']
2022-10-23 23:13:00;syifarmaci;@collegemenfess vaksin*. terus juga dia provokasi ke orang2 lain buat ga vaksin ga jaga jarak dll. aneh, totally freak.;vaksin provokasi orang vaksin jaga jarak aneh totally freak;['vaksin', 'provokasi', 'orang', 'vaksin', 'jaga', 'jarak', 'aneh', 'totally', 'freak']
2022-10-23 23:13:00;Mama_y0r;"Sambil kamu cari2 dibakat kamu, ambil mini course buat digital marketing aja nder. Sekalian cari-cari info vaksin. 

Kalo gada tuntutan ortu biasanya santai. Aku juga dulu gitu. Tapi ngeliat temen-temen udah ini itu, aku pengen juga :(

Tapi gapapa, ada waktunya sendiri kooo
";cari bakat ambil mini course digital marketing nder cari cari info vaksin kalo tuntut orang tua santai lihat teman teman pengin gapapa kooo;['cari', 'bakat', 'ambil', 'mini', 'course', 'digital', 'marketing', 'nder', 'cari', 'cari', 'info', 'vaksin', 'kalo', 'tuntut', 'orang', 'tua', 'santai', 'lihat', 'teman', 'teman', 'pengin', 'gapapa', 'kooo']
